OCCUR_DATE,BORO,STATISTICAL_MURDER_FLAG,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,Latitude,Longitude
12/11/2021,BRONX,TRUE,25-44,M,BLACK HISPANIC,40.83644685,-73.9040176
12/11/2021,BRONX,TRUE,25-44,M,BLACK HISPANIC,40.83644685,-73.9040176
12/11/2021,QUEENS,TRUE,25-44,M,WHITE HISPANIC,40.76747672,-73.87229027
12/10/2021,BRONX,FALSE,25-44,M,BLACK,40.86940749,-73.87999831
12/10/2021,BROOKLYN,FALSE,45-64,M,BLACK,40.65553381,-73.89053564
12/10/2021,MANHATTAN,FALSE,45-64,M,BLACK,40.82809706,-73.94552228
12/10/2021,BROOKLYN,FALSE,25-44,M,WHITE HISPANIC,40.70190197,-73.92160574
12/9/2021,BROOKLYN,TRUE,25-44,M,BLACK,40.63469213,-73.91236032
12/9/2021,BROOKLYN,FALSE,25-44,M,BLACK,40.63469213,-73.91236032
12/9/2021,MANHATTAN,FALSE,25-44,M,BLACK,40.72289961,-73.97972983
12/9/2021,BROOKLYN,FALSE,18-24,M,BLACK,40.67500776,-74.00657715
12/9/2021,BROOKLYN,TRUE,25-44,M,BLACK HISPANIC,40.70867333,-73.95857955
12/7/2021,BRONX,TRUE,25-44,M,WHITE HISPANIC,40.84749535,-73.8927318
12/7/2021,MANHATTAN,FALSE,18-24,M,WHITE HISPANIC,40.8545783,-73.93070146
12/6/2021,QUEENS,TRUE,25-44,M,BLACK,40.69648322,-73.77667979
12/6/2021,QUEENS,FALSE,25-44,M,BLACK,40.69648322,-73.77667979
12/6/2021,BRONX,FALSE,65+,M,BLACK,40.8767015,-73.86863801
12/6/2021,BROOKLYN,FALSE,25-44,M,BLACK,40.65680949,-73.92799476
12/6/2021,BRONX,FALSE,<18,M,BLACK,40.83700195,-73.90154852
12/5/2021,MANHATTAN,FALSE,25-44,M,BLACK,40.77396895,-73.96061496
12/5/2021,BRONX,TRUE,45-64,M,BLACK,40.86947048,-73.8798608
12/5/2021,BRONX,FALSE,18-24,M,BLACK HISPANIC,40.84196981,-73.91529663
12/5/2021,BRONX,TRUE,18-24,F,BLACK HISPANIC,40.84196981,-73.91529663
12/5/2021,BRONX,FALSE,18-24,F,BLACK HISPANIC,40.84196981,-73.91529663
12/5/2021,BRONX,TRUE,18-24,M,BLACK HISPANIC,40.84196981,-73.91529663
12/4/2021,BROOKLYN,FALSE,25-44,M,BLACK,40.6627675,-73.90752953
12/4/2021,BRONX,TRUE,25-44,M,BLACK,40.80550435,-73.91647725
12/4/2021,BROOKLYN,FALSE,25-44,M,BLACK,40.67488136,-74.00866088
12/4/2021,BRONX,FALSE,18-24,M,BLACK HISPANIC,40.880868,-73.88406039
12/4/2021,BROOKLYN,FALSE,25-44,M,BLACK HISPANIC,40.67302418,-73.89716897
12/4/2021,MANHATTAN,FALSE,18-24,M,BLACK HISPANIC,40.80438405,-73.93742167
12/3/2021,QUEENS,FALSE,25-44,M,BLACK,40.70704776,-73.75247131
12/3/2021,MANHATTAN,FALSE,18-24,M,BLACK,40.82988214,-73.9367581
12/3/2021,MANHATTAN,FALSE,18-24,M,BLACK,40.86163874,-73.92796461
12/3/2021,BRONX,FALSE,25-44,M,BLACK,40.82145596,-73.86619987
12/3/2021,BROOKLYN,TRUE,25-44,M,BLACK,40.58045253,-73.96397986
12/3/2021,BROOKLYN,FALSE,25-44,M,BLACK,40.58045253,-73.96397986
12/3/2021,BRONX,FALSE,45-64,M,BLACK HISPANIC,40.86160817,-73.89829816
12/3/2021,BRONX,FALSE,25-44,M,BLACK HISPANIC,40.86160817,-73.89829816
12/3/2021,BRONX,FALSE,18-24,M,BLACK HISPANIC,40.81393584,-73.90882957
12/3/2021,BROOKLYN,FALSE,25-44,M,WHITE HISPANIC,40.58045253,-73.96397986
12/3/2021,BROOKLYN,FALSE,45-64,M,WHITE HISPANIC,40.58045253,-73.96397986
12/3/2021,BROOKLYN,TRUE,25-44,M,WHITE HISPANIC,40.58045253,-73.96397986
12/3/2021,BROOKLYN,TRUE,45-64,M,WHITE HISPANIC,40.58045253,-73.96397986
12/2/2021,BRONX,TRUE,25-44,M,BLACK,40.8103127,-73.91976937
12/2/2021,BROOKLYN,FALSE,18-24,M,BLACK,40.64443346,-73.94889011
12/2/2021,BROOKLYN,FALSE,18-24,M,BLACK,40.68121575,-73.94203683
12/2/2021,MANHATTAN,FALSE,<18,M,BLACK,40.78872124,-73.93999677
12/2/2021,MANHATTAN,TRUE,18-24,M,WHITE HISPANIC,40.79958152,-73.93881675
12/1/2021,QUEENS,FALSE,25-44,M,BLACK,40.67096565,-73.73082082
12/1/2021,BROOKLYN,FALSE,<18,M,BLACK,40.66987615,-73.91795203
12/1/2021,BROOKLYN,TRUE,18-24,M,BLACK HISPANIC,40.59302197,-73.97908872
12/1/2021,BRONX,FALSE,45-64,F,WHITE HISPANIC,40.83626606,-73.91132866
12/1/2021,BROOKLYN,FALSE,<18,M,WHITE HISPANIC,40.68570407,-73.87160315
12/1/2021,BRONX,FALSE,25-44,M,WHITE HISPANIC,40.81604971,-73.92055364
12/1/2021,MANHATTAN,FALSE,25-44,M,WHITE HISPANIC,40.83065038,-73.93624786
11/30/2021,BROOKLYN,FALSE,18-24,M,BLACK,40.66762987,-73.89625448
11/30/2021,BRONX,FALSE,<18,M,WHITE HISPANIC,40.84029557,-73.84423546
11/29/2021,MANHATTAN,FALSE,25-44,M,BLACK,40.80339359,-73.93814501
11/29/2021,BROOKLYN,FALSE,18-24,M,BLACK,40.67834756,-73.91191358
11/28/2021,QUEENS,FALSE,25-44,M,BLACK,40.70611139,-73.73384207
11/28/2021,BRONX,FALSE,25-44,M,BLACK,40.85044956,-73.8851255
11/28/2021,MANHATTAN,FALSE,25-44,M,WHITE HISPANIC,40.84636273,-73.93925805
11/27/2021,BRONX,FALSE,25-44,M,BLACK,40.85612163,-73.89237808
11/27/2021,BRONX,FALSE,18-24,F,BLACK,40.85461239,-73.88423268
11/27/2021,BRONX,FALSE,18-24,F,BLACK,40.85461239,-73.88423268
11/27/2021,MANHATTAN,FALSE,25-44,M,BLACK,40.79648422,-73.94741178
11/27/2021,BRONX,TRUE,25-44,M,BLACK,40.85855614,-73.87093326
11/27/2021,BROOKLYN,FALSE,18-24,M,WHITE,40.64047529,-73.94846436
11/26/2021,BRONX,FALSE,25-44,M,BLACK,40.82872387,-73.92319077
11/26/2021,BRONX,FALSE,25-44,M,BLACK,40.82872387,-73.92319077
11/26/2021,QUEENS,FALSE,25-44,M,BLACK,40.67259515,-73.77514475
11/26/2021,BROOKLYN,FALSE,25-44,M,BLACK,40.66029596,-73.92056252
11/26/2021,MANHATTAN,TRUE,25-44,M,BLACK HISPANIC,40.84725621,-73.93685724
11/25/2021,BRONX,FALSE,45-64,M,BLACK,40.83826574,-73.90299584
11/25/2021,BRONX,TRUE,18-24,M,BLACK HISPANIC,40.82863076,-73.87870598
11/25/2021,BRONX,FALSE,18-24,M,WHITE HISPANIC,40.82626558,-73.89043906
11/24/2021,BRONX,FALSE,25-44,M,BLACK,40.85461239,-73.88423268
11/24/2021,BROOKLYN,FALSE,25-44,M,BLACK,40.65845582,-73.91512957
11/24/2021,BRONX,FALSE,18-24,F,WHITE,40.85461239,-73.88423268
11/23/2021,BRONX,FALSE,<18,M,BLACK,40.88414418,-73.8541539
11/23/2021,MANHATTAN,FALSE,25-44,M,BLACK,40.86742435,-73.92337023
11/23/2021,MANHATTAN,FALSE,18-24,M,WHITE HISPANIC,40.85517638,-73.93025982
11/22/2021,MANHATTAN,FALSE,25-44,M,BLACK,40.80481616,-73.95126657
11/22/2021,BRONX,FALSE,45-64,M,BLACK,40.81740495,-73.91576143
11/22/2021,QUEENS,FALSE,18-24,M,BLACK,40.60903584,-73.75589964
11/22/2021,BROOKLYN,FALSE,18-24,M,BLACK,40.65630959,-73.92321628
11/22/2021,BRONX,FALSE,<18,M,BLACK,40.87661969,-73.87404053
11/22/2021,STATEN ISLAND,FALSE,25-44,M,WHITE,40.60817874,-74.16219114
11/21/2021,QUEENS,FALSE,18-24,M,ASIAN / PACIFIC ISLANDER,40.74490303,-73.88446301
11/21/2021,BROOKLYN,FALSE,25-44,M,BLACK,40.69399523,-73.94168314
11/21/2021,STATEN ISLAND,TRUE,18-24,M,BLACK,40.64676712,-74.08675393
11/21/2021,QUEENS,FALSE,18-24,M,BLACK,40.69165666,-73.75709727
11/21/2021,BROOKLYN,FALSE,25-44,M,BLACK,40.66885471,-73.8674937
11/21/2021,STATEN ISLAND,FALSE,25-44,M,BLACK HISPANIC,40.64170756,-74.08430071
11/21/2021,BROOKLYN,FALSE,25-44,M,BLACK HISPANIC,40.6798868,-73.91115442
11/21/2021,BRONX,FALSE,45-64,M,WHITE HISPANIC,40.84624249,-73.89737469
11/21/2021,BRONX,FALSE,25-44,M,WHITE HISPANIC,40.828705,-73.92797858
11/20/2021,MANHATTAN,TRUE,18-24,M,BLACK,40.80138689,-73.93270006
11/19/2021,QUEENS,TRUE,25-44,M,BLACK,40.67522245,-73.73779398
11/19/2021,BRONX,FALSE,25-44,M,BLACK HISPANIC,40.83555712,-73.88828439
11/19/2021,STATEN ISLAND,FALSE,45-64,M,WHITE,40.62381602,-74.0737809
11/19/2021,STATEN ISLAND,FALSE,25-44,M,WHITE,40.62381602,-74.0737809
11/18/2021,BRONX,FALSE,25-44,M,BLACK,40.8190268,-73.89839214
11/18/2021,BRONX,FALSE,25-44,M,BLACK,40.8190268,-73.89839214
11/18/2021,BROOKLYN,FALSE,25-44,M,BLACK,40.69722406,-73.94957451
11/18/2021,BROOKLYN,FALSE,25-44,M,BLACK,40.67845753,-73.92795337
11/18/2021,MANHATTAN,FALSE,45-64,M,BLACK,40.79544508,-73.94394905
11/18/2021,BROOKLYN,FALSE,25-44,M,BLACK,40.67221317,-73.91966872
11/18/2021,QUEENS,FALSE,25-44,M,WHITE HISPANIC,40.75483399,-73.86470223
11/18/2021,QUEENS,FALSE,25-44,M,WHITE HISPANIC,40.75483399,-73.86470223
11/17/2021,MANHATTAN,TRUE,25-44,M,BLACK,40.80059329,-73.93206156
11/17/2021,QUEENS,FALSE,25-44,M,BLACK,40.77280891,-73.93302138
11/17/2021,BRONX,TRUE,18-24,M,BLACK,40.87137556,-73.86286333
11/17/2021,BRONX,TRUE,25-44,M,BLACK,40.87137556,-73.86286333
11/17/2021,BRONX,FALSE,18-24,M,BLACK,40.87552982,-73.82905621
11/17/2021,BRONX,FALSE,18-24,M,BLACK,40.87137556,-73.86286333
11/17/2021,BRONX,FALSE,25-44,M,BLACK,40.87137556,-73.86286333
11/17/2021,BRONX,TRUE,45-64,F,WHITE HISPANIC,40.87137556,-73.86286333
11/17/2021,BRONX,FALSE,<18,M,WHITE HISPANIC,40.87137556,-73.86286333
11/17/2021,BRONX,FALSE,45-64,F,WHITE HISPANIC,40.87137556,-73.86286333
11/17/2021,BRONX,TRUE,<18,M,WHITE HISPANIC,40.87137556,-73.86286333
11/16/2021,MANHATTAN,FALSE,25-44,M,BLACK,40.75164613,-73.98433731
11/16/2021,MANHATTAN,FALSE,18-24,M,BLACK,40.75164613,-73.98433731
11/16/2021,MANHATTAN,FALSE,18-24,M,BLACK,40.81116985,-73.95044911
11/16/2021,MANHATTAN,FALSE,18-24,M,BLACK,40.75164613,-73.98433731
11/16/2021,MANHATTAN,FALSE,25-44,M,BLACK,40.75164613,-73.98433731
11/16/2021,MANHATTAN,FALSE,18-24,M,BLACK,40.81116985,-73.95044911
11/16/2021,BROOKLYN,FALSE,18-24,M,BLACK,40.66236024,-73.95708364
11/16/2021,QUEENS,FALSE,25-44,M,BLACK,40.72743083,-73.92547228
11/16/2021,QUEENS,FALSE,18-24,M,BLACK,40.72743083,-73.92547228
11/16/2021,MANHATTAN,FALSE,18-24,M,BLACK HISPANIC,40.75164613,-73.98433731
11/16/2021,MANHATTAN,FALSE,18-24,M,BLACK HISPANIC,40.75164613,-73.98433731
